Uid,r_id
11998,49012
11999,34582
8686,3248
8686,35552
8686,37536
8686,37679
8686,46753
12000,22175
12001,20854
12001,41818
12002,2965
12003,15247
12003,34989
12003,40798
12004,22607
12004,44376
12005,51857
12006,52495
12007,15612
12008,41089
12009,48118
12010,33594
12011,275
12011,40792
12012,549
12013,50001
12014,41067
12014,49957
12015,29499
12016,1348
12017,21330
12017,48132
12017,49845
12018,18024
12019,41925
12020,2884
8263,22259
12021,37962
4281,21336
4281,22799
4281,25364
4281,31050
12022,19623
12022,32326
12022,34946
12023,2773
12024,12809
12025,8943
12025,21594
12026,29995
12027,21396
12027,50001
12027,50143
12028,32209
12029,19771
12030,22833
12030,23653
12030,45527
12030,47962
12031,4923
12032,145
12032,666
12033,32257
12033,37953
12034,18327
12034,37361
12035,49012
12036,14167
12036,51960
836,13398
836,29888
12037,29888
12037,37361
12037,50876
12037,51857
12038,666
12039,29133
12040,28928
12041,43312
12042,627
12042,971
12043,21106
12043,44629
6813,13911
6813,31050
6813,41232
6813,42250
12044,18024
12044,49746
12045,15247
12046,50001
12047,1036
12047,20050
12047,32951
12047,40121
12048,22338
12048,29673
12049,258
12049,2736
12049,2965
12049,18182
12049,26913
12049,34006
12050,37962
12051,42484
12052,3000
12052,21921
12052,32107
12052,32961
12053,50614
12053,52292
12054,41477
12055,21453
12055,22799
4940,30100
4940,39172
4940,51972
12056,1348
12056,13398
12057,2840
12058,29924
12059,46753
12060,37962
12061,20275
12061,38760
12061,39319
12062,25425
12063,36879
12063,38113
12064,618
12065,12275
12065,12930
12065,17005
12065,21975
12065,28473
12065,38113
5893,627
5893,31469
5893,49012
5893,50006
12066,20996
12066,23353
12066,50001
12067,1155
12068,26921
12069,49957
12070,6498
12070,21182
12071,20369
12072,40792
12072,50002
12073,42189
12074,1112
12075,21182
12075,49012
12076,11596
12076,37583
12077,971
12078,26254
12079,49437
12080,49012
12081,9888
1975,9855
1975,21488
1975,22259
1975,22338
1975,22593
1975,29950
1975,35928
12082,14199
12083,34822
12083,51099
12084,35680
12084,42129
12085,20524
12085,36418
12085,37361
12085,51857
12086,29995
12087,37971
12088,43994
12089,33334
12089,36963
12090,22399
12090,45527
12091,669
12092,14075
12093,109
12094,52428
7528,41762
7528,49524
12095,41935
12096,35471
12097,50066
12098,37951
12099,40288
12100,49012
12101,38207
12102,1317
12102,14333
12102,20737
12103,20469
12104,4941
12104,4971
12105,37720
12105,38252
12105,48118
12106,23048
12106,33195
12106,37583
12106,48118
12106,48851
12107,38291
12108,41477
10034,22667
10034,35680
10034,48329
12109,28928
12110,3248
12110,21182
12110,48261
10052,506
10052,4941
10052,42189
12111,42189
12112,14736
12113,37295
12114,12820
12115,35680
12116,45004
12117,23764
12118,28928
12118,42189
12119,37361
12120,36199
12121,4879
12122,40611
12123,21106
12124,22833
12125,506
12125,48569
12126,38113
12127,4927
3941,29617
12128,31469
12128,37808
12129,9795
12129,12275
12129,15960
12129,35164
12129,52693
12130,45431
12131,21753
12131,23048
12131,29133
12131,34582
12131,37962
12132,543
12132,632
12133,19695
10101,41843
12134,48566
12135,41262
12136,19982
12137,12613
12137,41624
12138,20996
12139,32107
12140,40792
12141,37720
12141,46735
12142,1311
12142,13171
12142,29950
12142,39393
12142,46376
12142,49059
12143,20991
12143,34582
12144,49957
12145,9795
12145,22833
12145,39478
12146,45004
12147,2620
12148,4964
12149,27452
12150,37808
12151,25425
12152,954
12153,20298
12153,33195
12154,40130
12155,788
12156,22745
12157,22259
12157,22833
9460,20469
9460,21143
9460,41262
9460,48132
12158,4950
12158,20094
12159,48569
12160,46888
8896,33195
8896,35552
8896,48569
12161,2958
12161,8094
12161,32381
12161,34140
12161,37955
12161,50621
12162,671
12163,50143
12164,28473
12165,29662
12166,14290
12167,20469
12167,21406
12167,30872
12167,34505
5301,14964
11309,14964
11309,44007
11309,44599
11309,45004
11309,45431
11309,51162
12168,50001
